Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_2_141,VPWR,li1,73.1400,19.0400,1.799969
FILLER_2_132,VPWR,li1,68.0800,19.0400,1.799969
FILLER_2_120,VPWR,li1,63.4800,19.0400,1.799969
FILLER_2_108,VPWR,li1,57.9600,19.0400,1.799969
FILLER_2_85,VPWR,li1,45.3100,19.0400,1.799971
FILLER_2_79,VPWR,li1,42.0900,19.0400,1.799972
FILLER_2_58,VPWR,li1,32.4300,19.0400,1.799977
FILLER_2_21,VPWR,li1,15.4100,19.0400,1.799988
FILLER_2_15,VPWR,li1,13.8000,19.0400,1.799988
FILLER_2_3,VPWR,li1,9.6600,19.0400,1.799988
FILLER_1_189,VPWR,li1,92.6900,13.6000,1.799986
FILLER_1_181,VPWR,li1,90.6200,13.6000,1.799986
FILLER_1_169,VPWR,li1,86.0200,13.6000,1.799986
FILLER_1_167,VPWR,li1,82.5700,13.6000,1.799986
FILLER_1_161,VPWR,li1,80.9600,13.6000,1.799986
FILLER_1_149,VPWR,li1,76.8200,13.6000,1.799986
FILLER_1_137,VPWR,li1,71.3000,13.6000,1.799986
FILLER_1_125,VPWR,li1,65.7800,13.6000,1.799986
FILLER_1_113,VPWR,li1,60.2600,13.6000,1.799986
FILLER_1_111,VPWR,li1,56.8100,13.6000,1.799986
FILLER_1_105,VPWR,li1,55.2000,13.6000,1.799986
FILLER_1_57,VPWR,li1,32.4300,13.6000,1.799989
FILLER_1_55,VPWR,li1,31.0500,13.6000,1.799990
FILLER_1_31,VPWR,li1,20.0100,13.6000,1.799993
FILLER_1_27,VPWR,li1,18.8600,13.6000,1.799993
FILLER_1_15,VPWR,li1,15.1800,13.6000,1.799992
FILLER_1_3,VPWR,li1,9.6600,13.6000,1.799992
FILLER_0_189,VPWR,li1,92.6900,13.6000,1.799986
FILLER_0_185,VPWR,li1,91.5400,13.6000,1.799986
FILLER_0_173,VPWR,li1,87.8600,13.6000,1.799986
FILLER_0_165,VPWR,li1,82.1100,13.6000,1.799986
FILLER_0_153,VPWR,li1,78.6600,13.6000,1.799986
FILLER_0_141,VPWR,li1,73.1400,13.6000,1.799986
FILLER_0_137,VPWR,li1,69.2300,13.6000,1.799986
FILLER_0_125,VPWR,li1,65.7800,13.6000,1.799986
FILLER_0_113,VPWR,li1,60.2600,13.6000,1.799986
FILLER_0_109,VPWR,li1,56.3500,13.6000,1.799986
FILLER_0_97,VPWR,li1,52.9000,13.6000,1.799986
FILLER_0_85,VPWR,li1,47.3800,13.6000,1.799986
FILLER_0_83,VPWR,li1,43.9300,13.6000,1.799987
FILLER_0_79,VPWR,li1,42.7800,13.6000,1.799987
FILLER_0_57,VPWR,li1,34.5000,13.6000,1.799989
FILLER_0_29,VPWR,li1,19.3200,13.6000,1.799993
FILLER_0_19,VPWR,li1,14.4900,13.6000,1.799992
FILLER_0_15,VPWR,li1,13.3400,13.6000,1.799992
FILLER_0_3,VPWR,li1,9.6600,13.6000,1.799992
hold3,VPWR,li1,27.6000,19.0400,1.799982
hold2,VPWR,li1,37.2600,24.4800,1.799997
hold1,VPWR,li1,40.4800,24.4800,1.799997
clkbuf_1_1__f_clk,VPWR,li1,50.6000,19.0400,1.799969
clkbuf_1_0__f_clk,VPWR,li1,24.8400,19.0400,1.799984
clkbuf_0_clk,VPWR,li1,37.2600,19.0400,1.799974
output4,VPWR,li1,92.0000,24.4800,1.799996
output3,VPWR,li1,15.6400,13.6000,1.799992
input2,VPWR,li1,7.5900,24.4800,1.799999
input1,VPWR,li1,84.1800,13.6000,1.799986
TAP_TAPCELL_ROW_7_45,VPWR,li1,83.0300,30.2260,1.800000
TAP_TAPCELL_ROW_7_44,VPWR,li1,70.1500,30.2260,1.800000
TAP_TAPCELL_ROW_7_43,VPWR,li1,57.2700,30.2260,1.800000
TAP_TAPCELL_ROW_7_42,VPWR,li1,44.3900,30.2260,1.800000
TAP_TAPCELL_ROW_7_41,VPWR,li1,31.5100,30.2260,1.800000
TAP_TAPCELL_ROW_7_40,VPWR,li1,18.6300,30.2260,1.800000
TAP_TAPCELL_ROW_6_39,VPWR,li1,70.1500,29.6130,1.800000
TAP_TAPCELL_ROW_6_38,VPWR,li1,44.3900,29.6130,1.800000
TAP_TAPCELL_ROW_6_37,VPWR,li1,18.6300,29.6130,1.800000
TAP_TAPCELL_ROW_5_36,VPWR,li1,83.0300,24.7860,1.799996
TAP_TAPCELL_ROW_5_35,VPWR,li1,57.2700,24.7860,1.799997
TAP_TAPCELL_ROW_5_34,VPWR,li1,31.5100,24.7860,1.799997
TAP_TAPCELL_ROW_4_33,VPWR,li1,70.1500,24.1730,1.799996
TAP_TAPCELL_ROW_4_32,VPWR,li1,44.3900,24.1730,1.799997
TAP_TAPCELL_ROW_4_31,VPWR,li1,18.6300,24.1730,1.799999
TAP_TAPCELL_ROW_3_30,VPWR,li1,83.0300,19.3460,1.799969
TAP_TAPCELL_ROW_3_29,VPWR,li1,57.2700,19.3460,1.799969
TAP_TAPCELL_ROW_3_28,VPWR,li1,31.5100,19.3460,1.799979
TAP_TAPCELL_ROW_2_27,VPWR,li1,70.1500,18.7330,1.799969
TAP_TAPCELL_ROW_2_26,VPWR,li1,44.3900,18.7330,1.799971
TAP_TAPCELL_ROW_2_25,VPWR,li1,18.6300,18.7330,1.799988
TAP_TAPCELL_ROW_1_24,VPWR,li1,83.0300,13.9060,1.799986
