Metric,Value
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,97.563728
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,4
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,1
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.25584246556559925
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.25482705555855933
timing__hold__ws__corner:max_ff_n40C_1v95,0.11892515087098664
timing__setup__ws__corner:max_ff_n40C_1v95,79.16054524830638
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.118925
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,99.079620
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,4
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,4
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79998
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.8
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.0000207107
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.000018949
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.00000309207
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.000018949
design_powergrid__voltage__worst,0.000018949
design_powergrid__voltage__worst__net:VPWR,1.79998
design_powergrid__drop__worst,0.0000207107
design_powergrid__drop__worst__net:VPWR,0.0000207107
design_powergrid__voltage__worst__net:VGND,0.000018949
design_powergrid__drop__worst__net:VGND,0.000018949
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.00000358999999999999993283692802104045682654032134450972080230712890625
ir__drop__worst,0.00002069999999999999832213208594833275810742634348571300506591796875
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
