Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_11_21,VGND,li1,15.4100,43.5200,0.000002
FILLER_11_15,VGND,li1,13.8000,43.5200,0.000002
FILLER_11_3,VGND,li1,9.6600,43.5200,0.000002
FILLER_10_101,VGND,li1,52.4400,38.0800,0.000002
FILLER_10_93,VGND,li1,50.1400,38.0800,0.000002
FILLER_10_82,VGND,li1,43.7000,38.0800,0.000002
FILLER_10_34,VGND,li1,21.3900,38.0800,0.000001
FILLER_10_19,VGND,li1,14.4900,38.0800,0.000001
FILLER_10_7,VGND,li1,11.5000,38.0800,0.000001
FILLER_9_102,VGND,li1,52.6700,38.0800,0.000002
FILLER_9_94,VGND,li1,50.6000,38.0800,0.000002
FILLER_9_52,VGND,li1,30.3600,38.0800,0.000002
FILLER_9_23,VGND,li1,16.3300,38.0800,0.000001
FILLER_9_15,VGND,li1,14.2600,38.0800,0.000001
FILLER_9_3,VGND,li1,9.6600,38.0800,0.000001
FILLER_8_93,VGND,li1,49.6800,32.6400,0.000019
FILLER_8_82,VGND,li1,43.7000,32.6400,0.000019
FILLER_8_69,VGND,li1,37.7200,32.6400,0.000016
FILLER_8_38,VGND,li1,23.2300,32.6400,0.000010
FILLER_8_29,VGND,li1,19.5500,32.6400,0.000010
FILLER_8_7,VGND,li1,8.9700,32.6400,0.000011
FILLER_8_3,VGND,li1,7.8200,32.6400,0.000011
FILLER_7_91,VGND,li1,50.1400,32.6400,0.000019
FILLER_7_57,VGND,li1,33.1200,32.6400,0.000014
FILLER_7_21,VGND,li1,15.4100,32.6400,0.000011
FILLER_7_15,VGND,li1,13.8000,32.6400,0.000011
FILLER_7_3,VGND,li1,9.6600,32.6400,0.000011
FILLER_6_91,VGND,li1,50.1400,27.2000,0.000005
FILLER_6_77,VGND,li1,41.4000,27.2000,0.000004
FILLER_6_53,VGND,li1,30.8200,27.2000,0.000003
FILLER_6_29,VGND,li1,19.7800,27.2000,0.000003
FILLER_6_27,VGND,li1,18.1700,27.2000,0.000003
FILLER_6_15,VGND,li1,15.1800,27.2000,0.000003
FILLER_6_3,VGND,li1,9.6600,27.2000,0.000003
FILLER_5_102,VGND,li1,52.6700,27.2000,0.000005
FILLER_5_55,VGND,li1,31.0500,27.2000,0.000003
FILLER_5_15,VGND,li1,15.1800,27.2000,0.000003
FILLER_5_3,VGND,li1,9.6600,27.2000,0.000003
FILLER_4_97,VGND,li1,51.5200,21.7600,0.000006
FILLER_4_29,VGND,li1,19.3200,21.7600,0.000002
FILLER_4_27,VGND,li1,18.1700,21.7600,0.000002
FILLER_4_15,VGND,li1,15.1800,21.7600,0.000002
FILLER_4_3,VGND,li1,9.6600,21.7600,0.000002
FILLER_3_80,VGND,li1,43.0100,21.7600,0.000005
FILLER_3_57,VGND,li1,32.4300,21.7600,0.000004
FILLER_3_55,VGND,li1,31.0500,21.7600,0.000003
FILLER_3_51,VGND,li1,29.9000,21.7600,0.000003
FILLER_3_39,VGND,li1,26.2200,21.7600,0.000002
FILLER_3_27,VGND,li1,20.7000,21.7600,0.000002
FILLER_3_15,VGND,li1,15.1800,21.7600,0.000002
FILLER_3_3,VGND,li1,9.6600,21.7600,0.000002
FILLER_2_97,VGND,li1,50.6000,16.3200,0.000002
FILLER_2_85,VGND,li1,47.3800,16.3200,0.000002
FILLER_2_83,VGND,li1,43.9300,16.3200,0.000002
FILLER_2_77,VGND,li1,42.3200,16.3200,0.000002
FILLER_2_65,VGND,li1,38.1800,16.3200,0.000001
FILLER_2_53,VGND,li1,32.6600,16.3200,0.000001
FILLER_2_41,VGND,li1,27.1400,16.3200,0.000001
FILLER_2_29,VGND,li1,21.6200,16.3200,0.000001
FILLER_2_27,VGND,li1,18.1700,16.3200,0.000001
FILLER_2_15,VGND,li1,15.1800,16.3200,0.000001
FILLER_2_3,VGND,li1,9.6600,16.3200,0.000001
FILLER_1_81,VGND,li1,43.2400,16.3200,0.000002
FILLER_1_69,VGND,li1,40.0200,16.3200,0.000002
FILLER_1_57,VGND,li1,34.5000,16.3200,0.000001
FILLER_1_55,VGND,li1,31.0500,16.3200,0.000001
FILLER_1_43,VGND,li1,28.0600,16.3200,0.000001
FILLER_1_31,VGND,li1,22.5400,16.3200,0.000001
FILLER_1_19,VGND,li1,17.0200,16.3200,0.000001
FILLER_1_7,VGND,li1,11.5000,16.3200,0.000001
FILLER_0_97,VGND,li1,50.6000,10.8800,0.000000
FILLER_0_89,VGND,li1,48.3000,10.8800,0.000000
FILLER_0_85,VGND,li1,44.8500,10.8800,0.000000
FILLER_0_81,VGND,li1,43.4700,10.8800,0.000000
FILLER_0_69,VGND,li1,40.0200,10.8800,0.000000
FILLER_0_57,VGND,li1,34.5000,10.8800,0.000000
FILLER_0_53,VGND,li1,30.5900,10.8800,0.000000
FILLER_0_41,VGND,li1,27.1400,10.8800,0.000000
FILLER_0_29,VGND,li1,21.6200,10.8800,0.000000
FILLER_0_24,VGND,li1,17.4800,10.8800,0.000000
FILLER_0_15,VGND,li1,13.8000,10.8800,0.000000
FILLER_0_3,VGND,li1,9.6600,10.8800,0.000000
hold35,VGND,li1,35.4200,59.8400,0.000002
hold34,VGND,li1,46.4600,48.9600,0.000010
hold33,VGND,li1,33.1200,21.7600,0.000004
hold32,VGND,li1,50.6000,65.2800,0.000014
hold31,VGND,li1,20.2400,59.8400,0.000001
hold30,VGND,li1,26.2200,48.9600,0.000006
hold29,VGND,li1,18.4000,65.2800,0.000006
hold28,VGND,li1,24.3800,81.6000,0.000001
hold27,VGND,li1,16.1000,70.7200,0.000006
hold26,VGND,li1,16.5600,59.8400,0.000001
hold25,VGND,li1,29.4400,54.4000,0.000002
hold24,VGND,li1,19.7800,70.7200,0.000006
hold23,VGND,li1,30.3600,59.8400,0.000002
hold22,VGND,li1,28.9800,27.2000,0.000003
hold21,VGND,li1,50.1400,70.7200,0.000008
hold20,VGND,li1,16.5600,38.0800,0.000001
hold19,VGND,li1,18.4000,38.0800,0.000001
hold18,VGND,li1,37.7200,27.2000,0.000004
hold17,VGND,li1,46.9200,38.0800,0.000002
hold16,VGND,li1,36.3400,32.6400,0.000016
hold15,VGND,li1,39.1000,48.9600,0.000010
hold14,VGND,li1,21.1600,43.5200,0.000002
hold13,VGND,li1,46.4600,70.7200,0.000008
hold12,VGND,li1,49.2200,70.7200,0.000008
hold11,VGND,li1,46.4600,32.6400,0.000019
hold10,VGND,li1,20.2400,48.9600,0.000006
hold9,VGND,li1,17.4800,43.5200,0.000002
hold8,VGND,li1,36.3400,59.8400,0.000002
hold7,VGND,li1,43.7000,48.9600,0.000010
hold6,VGND,li1,46.4600,43.5200,0.000005
hold5,VGND,li1,46.4600,38.0800,0.000002
hold4,VGND,li1,40.9400,76.1600,0.000005
hold3,VGND,li1,33.1200,81.6000,0.000001
hold2,VGND,li1,29.4400,81.6000,0.000001
hold1,VGND,li1,46.4600,21.7600,0.000005
clkload2,VGND,li1,20.7000,65.2800,0.000006
clkload1,VGND,li1,40.7100,32.6400,0.000018
clkload0,VGND,li1,21.6200,32.6400,0.000010
clkbuf_2_3__f_clk,VGND,li1,39.5600,65.2800,0.000013
clkbuf_2_2__f_clk,VGND,li1,26.2200,70.7200,0.000006
clkbuf_2_1__f_clk,VGND,li1,42.7800,32.6400,0.000019
clkbuf_2_0__f_clk,VGND,li1,24.8400,32.6400,0.000010
clkbuf_0_clk,VGND,li1,32.6600,48.9600,0.000009
_102__25,VGND,li1,40.2500,27.2000,0.000004
fanout24,VGND,li1,51.9800,81.6000,0.000002
fanout23,VGND,li1,51.5200,76.1600,0.000005
fanout22,VGND,li1,49.2200,43.5200,0.000005
fanout21,VGND,li1,46.0000,27.2000,0.000005
fanout20,VGND,li1,30.3600,32.6400,0.000012
fanout19,VGND,li1,43.4700,76.1600,0.000005
fanout18,VGND,li1,41.4000,59.8400,0.000002
fanout17,VGND,li1,49.2200,21.7600,0.000006
fanout16,VGND,li1,46.4600,48.9600,0.000010
output15,VGND,li1,51.9800,87.0400,0.000001
output14,VGND,li1,51.9800,81.6000,0.000002
output13,VGND,li1,51.9800,70.7200,0.000008
output12,VGND,li1,51.9800,59.8400,0.000002
output11,VGND,li1,51.9800,43.5200,0.000005
output10,VGND,li1,51.9800,32.6400,0.000019
output9,VGND,li1,51.9800,16.3200,0.000002
output8,VGND,li1,51.9800,10.8800,0.000000
input7,VGND,li1,45.7700,10.8800,0.000000
input6,VGND,li1,15.8700,10.8800,0.000000
input5,VGND,li1,7.8200,87.0400,0.000000
input4,VGND,li1,7.8200,65.2800,0.000006
input3,VGND,li1,7.8200,38.0800,0.000001
input2,VGND,li1,7.8200,16.3200,0.000001
input1,VGND,li1,45.7700,87.0400,0.000001
TAP_TAPCELL_ROW_27_100,VGND,li1,44.3900,86.7480,0.000001
TAP_TAPCELL_ROW_27_99,VGND,li1,31.5100,86.7480,0.000000
TAP_TAPCELL_ROW_27_98,VGND,li1,18.6300,86.7480,0.000000
TAP_TAPCELL_ROW_26_97,VGND,li1,44.3900,81.8910,0.000002
TAP_TAPCELL_ROW_26_96,VGND,li1,18.6300,81.8910,0.000001
TAP_TAPCELL_ROW_25_95,VGND,li1,31.5100,81.3080,0.000001
TAP_TAPCELL_ROW_24_94,VGND,li1,44.3900,76.4510,0.000005
TAP_TAPCELL_ROW_24_93,VGND,li1,18.6300,76.4510,0.000003
TAP_TAPCELL_ROW_23_92,VGND,li1,31.5100,75.8680,0.000003
TAP_TAPCELL_ROW_22_91,VGND,li1,44.3900,71.0110,0.000008
TAP_TAPCELL_ROW_22_90,VGND,li1,18.6300,71.0110,0.000006
TAP_TAPCELL_ROW_21_89,VGND,li1,31.5100,70.4280,0.000007
TAP_TAPCELL_ROW_20_88,VGND,li1,44.3900,65.5710,0.000013
TAP_TAPCELL_ROW_20_87,VGND,li1,18.6300,65.5710,0.000006
TAP_TAPCELL_ROW_19_86,VGND,li1,31.5100,64.9880,0.000009
TAP_TAPCELL_ROW_18_85,VGND,li1,44.3900,60.1310,0.000002
TAP_TAPCELL_ROW_18_84,VGND,li1,18.6300,60.1310,0.000001
TAP_TAPCELL_ROW_17_83,VGND,li1,31.5100,59.5480,0.000002
TAP_TAPCELL_ROW_16_82,VGND,li1,44.3900,54.6910,0.000003
TAP_TAPCELL_ROW_16_81,VGND,li1,18.6300,54.6910,0.000001
TAP_TAPCELL_ROW_15_80,VGND,li1,31.5100,54.1080,0.000002
TAP_TAPCELL_ROW_14_79,VGND,li1,44.3900,49.2510,0.000010
TAP_TAPCELL_ROW_14_78,VGND,li1,18.6300,49.2510,0.000006
TAP_TAPCELL_ROW_13_77,VGND,li1,31.5100,48.6680,0.000008
TAP_TAPCELL_ROW_12_76,VGND,li1,44.3900,43.8110,0.000004
TAP_TAPCELL_ROW_12_75,VGND,li1,18.6300,43.8110,0.000002
TAP_TAPCELL_ROW_11_74,VGND,li1,31.5100,43.2280,0.000003
TAP_TAPCELL_ROW_10_73,VGND,li1,44.3900,38.3710,0.000002
TAP_TAPCELL_ROW_10_72,VGND,li1,18.6300,38.3710,0.000001
TAP_TAPCELL_ROW_9_71,VGND,li1,31.5100,37.7880,0.000002
TAP_TAPCELL_ROW_8_70,VGND,li1,44.3900,32.9310,0.000019
TAP_TAPCELL_ROW_8_69,VGND,li1,18.6300,32.9310,0.000010
TAP_TAPCELL_ROW_7_68,VGND,li1,31.5100,32.3480,0.000012
TAP_TAPCELL_ROW_6_67,VGND,li1,44.3900,27.4910,0.000004
TAP_TAPCELL_ROW_6_66,VGND,li1,18.6300,27.4910,0.000003
TAP_TAPCELL_ROW_5_65,VGND,li1,31.5100,26.9080,0.000003
TAP_TAPCELL_ROW_4_64,VGND,li1,44.3900,22.0510,0.000005
TAP_TAPCELL_ROW_4_63,VGND,li1,18.6300,22.0510,0.000002
TAP_TAPCELL_ROW_3_62,VGND,li1,31.5100,21.4680,0.000003
TAP_TAPCELL_ROW_2_61,VGND,li1,44.3900,16.6110,0.000002
TAP_TAPCELL_ROW_2_60,VGND,li1,18.6300,16.6110,0.000001
TAP_TAPCELL_ROW_1_59,VGND,li1,31.5100,16.0280,0.000001
TAP_TAPCELL_ROW_0_58,VGND,li1,44.3900,11.1710,0.000000
TAP_TAPCELL_ROW_0_57,VGND,li1,31.5100,11.1710,0.000000
TAP_TAPCELL_ROW_0_56,VGND,li1,18.6300,11.1710,0.000000
PHY_EDGE_ROW_27_Left_55,VGND,li1,6.2100,87.0400,0.000000
PHY_EDGE_ROW_26_Left_54,VGND,li1,6.2100,81.6000,0.000001
PHY_EDGE_ROW_25_Left_53,VGND,li1,6.2100,81.6000,0.000001
PHY_EDGE_ROW_24_Left_52,VGND,li1,6.2100,76.1600,0.000003
PHY_EDGE_ROW_23_Left_51,VGND,li1,6.2100,76.1600,0.000003
PHY_EDGE_ROW_22_Left_50,VGND,li1,6.2100,70.7200,0.000006
PHY_EDGE_ROW_21_Left_49,VGND,li1,6.2100,70.7200,0.000006
PHY_EDGE_ROW_20_Left_48,VGND,li1,6.2100,65.2800,0.000006
PHY_EDGE_ROW_19_Left_47,VGND,li1,6.2100,65.2800,0.000006
PHY_EDGE_ROW_18_Left_46,VGND,li1,6.2100,59.8400,0.000001
PHY_EDGE_ROW_17_Left_45,VGND,li1,6.2100,59.8400,0.000001
PHY_EDGE_ROW_16_Left_44,VGND,li1,6.2100,54.4000,0.000001
PHY_EDGE_ROW_15_Left_43,VGND,li1,6.2100,54.4000,0.000001
PHY_EDGE_ROW_14_Left_42,VGND,li1,6.2100,48.9600,0.000006
PHY_EDGE_ROW_13_Left_41,VGND,li1,6.2100,48.9600,0.000006
PHY_EDGE_ROW_12_Left_40,VGND,li1,6.2100,43.5200,0.000002
PHY_EDGE_ROW_11_Left_39,VGND,li1,6.2100,43.5200,0.000002
PHY_EDGE_ROW_10_Left_38,VGND,li1,6.2100,38.0800,0.000001
PHY_EDGE_ROW_9_Left_37,VGND,li1,6.2100,38.0800,0.000001
PHY_EDGE_ROW_8_Left_36,VGND,li1,6.2100,32.6400,0.000011
PHY_EDGE_ROW_7_Left_35,VGND,li1,6.2100,32.6400,0.000011
PHY_EDGE_ROW_6_Left_34,VGND,li1,6.2100,27.2000,0.000003
PHY_EDGE_ROW_5_Left_33,VGND,li1,6.2100,27.2000,0.000003
